year,game_code,a_team_code,b_team_code,a_result,b_result,a_points,b_points,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,half_leader,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened,a_team_name,a_name_conference,team_name,name_conference
2009,129041620090912,129,416,1,0,13,17,15,16,12,12,54,54,121,121,102,102,23,13,6,7,0,2,0,30,-4,4,BTEAM     ,B,1,9/12/2009,68,Spartan Stadium                                                            ,TEAM           ,East Lansing                                                               ,MI,73000,Grass                    ,1,1923,Central Michigan                                  ,Mid-American Conference                                                    ,Michigan State                                    ,Big Ten Conference                                                         
2013,129046520130914,465,129,1,0,7,21,14,20,28,28,85,85,88,88,178,178,10,22,2,8,3,1,20,5,-14,14,BTEAM     ,A,0,9/14/2013,89,Sam Boyd Stadium                                                           ,TEAM           ,Las Vegas                                                                  ,NV,36800,TurfTech                 ,0,1971,UNLV                                              ,Mountain West Conference                                                   ,Central Michigan                                  ,Mid-American Conference                                                    
2011,129049020111008,129,490,0,1,17,21,12,18,60,60,60,60,104,104,154,154,17,16,3,4,1,1,5,13,-4,4,BTEAM     ,B,1,10/8/2011,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1,1966,Central Michigan                                  ,Mid-American Conference                                                    ,North Carolina State                              ,Atlantic Coast Conference                                                  
2010,129050320101023,503,129,1,0,9,7,19,16,82,82,65,65,117,117,101,101,12,18,4,2,2,2,20,15,2,2,ATEAM     ,A,0,10/23/2010,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965,Northern Illinois                                 ,Mid-American Conference                                                    ,Central Michigan                                  ,Mid-American Conference                                                    
2012,129050320120929,129,503,0,1,14,24,15,25,55,55,156,156,119,119,150,150,19,18,10,9,4,1,38,5,-10,10,BTEAM     ,B,1,9/29/2012,45,Huskie Stadium                                                             ,TEAM           ,De Kalb                                                                    ,IL,30076,FieldTurf                ,0,1965,Central Michigan                                  ,Mid-American Conference                                                    ,Northern Illinois                                 ,Mid-American Conference                                                    
2010,129050920100925,129,509,0,1,13,13,11,20,75,75,75,75,173,173,132,132,21,21,5,3,5,3,45,15,0,0,TIED      ,B,1,9/25/2010,46,Ryan Field                                                                 ,TEAM           ,Evanston                                                                   ,IL,49256,Grass                    ,1,1926,Central Michigan                                  ,Mid-American Conference                                                    ,Northwestern                                      ,Big Ten Conference                                                         
2008,129051920080913,519,129,0,1,14,10,16,19,95,95,27,27,122,122,194,194,13,22,7,7,0,2,0,20,4,4,ATEAM     ,A,0,9/13/2008,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929,Ohio                                              ,Mid-American Conference                                                    ,Central Michigan                                  ,Mid-American Conference                                                    
2013,129051920131012,519,129,0,1,3,10,20,24,63,63,156,156,-2,-2,40,40,20,8,5,2,5,1,34,15,-7,7,BTEAM     ,A,0,10/12/2013,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929,Ohio                                              ,Mid-American Conference                                                    ,Central Michigan                                  ,Mid-American Conference                                                    
2008,129055920080920,129,559,0,1,10,10,19,17,81,81,-4,-4,66,66,176,176,14,21,8,4,2,2,25,25,0,0,TIED      ,B,1,9/20/2008,50,Ross-Ade Stadium                                                           ,TEAM           ,West Lafayette                                                             ,IN,68000,Grass                    ,1,1924,Central Michigan                                  ,Mid-American Conference                                                    ,Purdue                                            ,Big Ten Conference                                                         
2008,129070920081025,709,129,0,1,13,17,19,15,95,95,52,52,93,93,106,106,17,22,6,5,2,5,20,30,-4,4,BTEAM     ,A,0,10/25/2008,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937,Toledo                                            ,Mid-American Conference                                                    ,Central Michigan                                  ,Mid-American Conference                                                    
2010,129070920101126,129,709,0,1,14,28,14,14,31,31,-21,-21,139,139,244,244,19,21,5,6,4,0,15,0,-14,14,BTEAM     ,B,1,11/26/2010,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937,Central Michigan                                  ,Mid-American Conference                                                    ,Toledo                                            ,Mid-American Conference                                                    
2012,129070920121006,709,129,1,0,17,21,17,12,52,52,13,13,317,317,118,118,27,17,8,6,0,0,0,0,-4,4,BTEAM     ,A,0,10/6/2012,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937,Toledo                                            ,Mid-American Conference                                                    ,Central Michigan                                  ,Mid-American Conference                                                    
2010,129072620101113,129,726,0,1,24,21,17,24,70,70,269,269,189,189,-5,-5,31,4,13,1,1,1,5,5,3,3,ATEAM     ,B,1,11/13/2010,62,Navy-Marine Corps Memorial Stadium                                         ,TEAM           ,Annapolis                                                                  ,MD,35000,FieldTurf                ,0,1959,Central Michigan                                  ,Mid-American Conference                                                    ,Navy                                              ,Independent                                                                
2009,129077420091017,129,774,1,0,27,13,12,14,68,68,31,31,158,158,227,227,17,31,7,12,6,5,53,43,14,14,ATEAM     ,B,1,10/17/2009,69,Waldo Stadium                                                              ,TEAM           ,Kalamazoo                                                                  ,MI,30200,FieldTurf                ,0,1937,Central Michigan                                  ,Mid-American Conference                                                    ,Western Michigan                                  ,Mid-American Conference                                                    
2013,129077420131116,774,129,0,1,6,14,14,19,10,10,79,79,101,101,91,91,16,17,8,4,1,1,5,5,-8,8,BTEAM     ,A,0,11/16/2013,69,Waldo Stadium                                                              ,TEAM           ,Kalamazoo                                                                  ,MI,30200,FieldTurf                ,0,1937,Western Michigan                                  ,Mid-American Conference                                                    ,Central Michigan                                  ,Mid-American Conference                                                    
2008,140000520080927,5,140,0,1,9,7,15,14,21,21,-43,-43,163,163,106,106,24,22,9,8,4,2,25,20,2,2,ATEAM     ,A,0,9/27/2008,94,Rubber Bowl                                                                ,TEAM           ,Akron                                                                      ,OH,31000,AstroPlay                ,0,1940,Akron                                             ,Mid-American Conference                                                    ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2010,140009620100904,96,140,1,0,14,14,13,14,22,22,30,30,147,147,153,153,15,24,6,9,3,1,19,7,0,0,TIED      ,A,0,9/4/2010,13,Bulldog Stadium                                                            ,TEAM           ,Fresno                                                                     ,CA,41000,Grass                    ,1,1980,Fresno State                                      ,Mountain West Conference                                                   ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2008,140016420081025,140,164,0,1,13,10,8,13,28,28,42,42,58,58,104,104,27,28,15,16,5,2,44,14,3,3,ATEAM     ,B,1,10/25/2008,25,Rentschler Field                                                           ,TEAM           ,Hartford                                                                   ,CT,40000,Grass                    ,1,2003,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Connecticut                                       ,Big East Conference/American Athletic                                      
2010,140016420101127,140,164,0,1,10,24,16,23,45,45,109,109,108,108,73,73,25,14,7,8,2,2,20,17,-14,14,BTEAM     ,B,1,11/27/2010,25,Rentschler Field                                                           ,TEAM           ,Hartford                                                                   ,CT,40000,Grass                    ,1,2003,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Connecticut                                       ,Big East Conference/American Athletic                                      
2012,140016420121201,140,164,1,0,14,10,10,17,6,6,22,22,151,151,195,195,20,26,7,12,2,2,20,15,4,4,ATEAM     ,B,1,12/1/2012,25,Rentschler Field                                                           ,TEAM           ,Hartford                                                                   ,CT,40000,Grass                    ,1,2003,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Connecticut                                       ,Big East Conference/American Athletic                                      
2012,140019320121227,140,193,1,0,17,16,13,19,109,109,89,89,119,119,50,50,17,24,8,6,1,1,5,5,1,1,ATEAM     ,B,1,12/27/2012,79,Bank of America Stadium                                                    ,NEUTRAL        ,Charlotte                                                                  ,NC,73248,Grass                    ,1,1996,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Duke                                              ,Atlantic Coast Conference                                                  
2008,140027720081206,277,140,0,1,3,10,10,20,25,25,113,113,125,125,73,73,18,16,5,4,3,3,29,22,-7,7,BTEAM     ,A,0,12/6/2008,39,Aloha Stadium                                                              ,TEAM           ,Honolulu                                                                   ,HI,50000,FieldTurf                ,0,1975,Hawai'i                                           ,Mountain West Conference                                                   ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2013,140028820131123,140,288,1,0,17,7,17,15,-53,-53,-41,-41,429,429,68,68,30,23,10,14,1,3,5,23,10,10,ATEAM     ,B,1,11/23/2013,127,Rice Stadium                                                               ,NEUTRAL        ,Houston                                                                    ,TX,70000,FieldTurf                ,0,1950,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Houston                                           ,Big East Conference/American Athletic                                      
2013,140030120130907,140,301,0,1,7,21,19,14,72,72,69,69,93,93,177,177,17,21,6,4,2,5,10,18,-14,14,BTEAM     ,B,1,9/7/2013,44,Memorial Stadium                                                           ,TEAM           ,Champaign                                                                  ,IL,70000,AstroPlay                ,0,1924,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Illinois                                          ,Big Ten Conference                                                         
2008,140036720081114,367,140,0,1,17,14,19,14,62,62,98,98,112,112,159,159,14,20,3,7,4,0,32,0,3,3,ATEAM     ,A,0,11/14/2008,54,Papa John's Cardinal Stadium                                               ,TEAM           ,Louisville                                                                 ,KY,42000,FieldTurf                ,0,1998,Louisville                                        ,Big East Conference/American Athletic                                      ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2010,140036720101015,140,367,1,0,21,24,13,21,109,109,157,157,175,175,95,95,14,15,6,4,4,1,35,15,-3,3,BTEAM     ,B,1,10/15/2010,54,Papa John's Cardinal Stadium                                               ,TEAM           ,Louisville                                                                 ,KY,42000,FieldTurf                ,0,1998,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Louisville                                        ,Big East Conference/American Athletic                                      
2008,140038820081003,388,140,0,1,3,16,18,15,41,41,28,28,107,107,66,66,19,17,8,6,0,3,0,20,-13,13,BTEAM     ,A,0,10/3/2008,142,Joan Edwards Stadium                                                       ,TEAM           ,Huntington                                                                 ,WV,38016,FieldTurf                ,0,1991,Marshall                                          ,Conference USA                                                             ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2013,140040420131030,404,140,0,1,7,14,14,14,90,90,-43,-43,39,39,173,173,11,21,4,4,2,3,10,20,-7,7,BTEAM     ,A,0,10/30/2013,115,Liberty Bowl                                                               ,TEAM           ,Memphis                                                                    ,TN,62380,FieldTurf                ,0,1965,Memphis                                           ,Big East Conference/American Athletic                                      ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2011,140041420111001,414,140,0,1,0,6,19,20,6,6,14,14,104,104,11,11,18,17,6,8,2,2,20,20,-6,6,BTEAM     ,A,0,10/1/2011,101,Fred C. Yager Stadium                                                      ,TEAM           ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983,Miami (Ohio)                                      ,Mid-American Conference                                                    ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2013,140041420130921,140,414,1,0,0,0,16,19,46,46,18,18,91,91,61,61,27,9,11,4,1,2,15,10,0,0,TIED      ,B,1,9/21/2013,101,Fred C. Yager Stadium                                                      ,TEAM           ,Oxford                                                                     ,OH,30012,FieldTurf                ,0,1983,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Miami (Ohio)                                      ,Mid-American Conference                                                    
2010,140049020100916,140,490,0,1,7,20,19,14,71,71,101,101,113,113,170,170,16,25,8,8,5,6,25,45,-13,13,BTEAM     ,B,1,9/16/2010,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1,1966,Cincinnati                                        ,Big East Conference/American Athletic                                      ,North Carolina State                              ,Atlantic Coast Conference                                                  
2008,140052220080906,140,522,0,1,13,21,19,16,51,51,79,79,58,58,159,159,22,20,5,5,3,3,25,24,-8,8,BTEAM     ,B,1,9/6/2008,103,Memorial Stadium at Owen Field                                             ,TEAM           ,Norman                                                                     ,OK,81207,Grass                    ,1,1923,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Oklahoma                                          ,Big 12 Conference                                                          
2009,140052820090919,528,140,0,1,8,21,20,8,21,21,34,34,94,94,206,206,19,27,9,9,3,4,15,35,-13,13,BTEAM     ,A,0,9/19/2009,107,Reser Stadium                                                              ,TEAM           ,Corvallis                                                                  ,OR,35362,FieldTurf                ,0,1953,Oregon State                                      ,Pac-12/Pac-10 Conference                                                   ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2009,140054520091205,545,140,0,1,31,17,31,8,108,108,57,57,110,110,96,96,9,23,1,13,0,3,0,20,14,14,ATEAM     ,A,0,12/5/2009,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,1,2001,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2011,140054520111105,545,140,0,1,16,13,21,17,82,82,127,127,124,124,165,165,14,16,4,4,2,0,20,0,3,3,ATEAM     ,A,0,11/5/2011,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,1,2001,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2011,140058720111119,140,587,0,1,3,10,16,20,124,124,49,49,7,7,147,147,8,27,6,11,6,0,40,0,-7,7,BTEAM     ,B,1,11/19/2011,86,High Point Solutions Stadium                                               ,TEAM           ,Piscataway                                                                 ,NJ,52454,FieldTurf                ,0,1994,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Rutgers                                           ,Big East Conference/American Athletic                                      
2009,140065120091015,651,140,0,1,7,17,22,12,119,119,4,4,142,142,122,122,21,19,8,9,4,7,20,55,-10,10,BTEAM     ,A,0,10/15/2009,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1,1998,South Florida                                     ,Big East Conference/American Athletic                                      ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2011,140065120111022,651,140,0,1,7,10,19,15,37,37,34,34,175,175,79,79,23,23,10,8,4,1,21,15,-3,3,BTEAM     ,A,0,10/22/2011,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1,1998,South Florida                                     ,Big East Conference/American Athletic                                      ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2013,140065120131005,140,651,0,1,6,20,12,21,22,22,135,135,217,217,68,68,16,12,5,5,2,2,10,14,-14,14,BTEAM     ,B,1,10/5/2013,35,Raymond James Stadium                                                      ,TEAM           ,Tampa                                                                      ,FL,41441,Grass                    ,1,1998,Cincinnati                                        ,Big East Conference/American Athletic                                      ,South Florida                                     ,Big East Conference/American Athletic                                      
2009,140068820091031,140,688,1,0,14,7,13,17,45,45,66,66,191,191,49,49,17,13,4,2,4,2,35,15,7,7,ATEAM     ,B,1,10/31/2009,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,0,1980,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Syracuse                                          ,Atlantic Coast Conference                                                  
2011,140068820111126,140,688,1,0,10,6,19,20,116,116,117,117,86,86,53,53,18,13,5,7,3,5,19,25,4,4,ATEAM     ,B,1,11/26/2011,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,0,1980,Cincinnati                                        ,Big East Conference/American Athletic                                      ,Syracuse                                          ,Atlantic Coast Conference                                                  
2011,140069020121110,694,140,1,0,28,14,14,15,-2,-2,142,142,273,273,98,98,27,19,6,7,2,4,25,31,14,14,ATEAM     ,B,1,11/10/2012,109,Lincoln Financial Field                                                    ,TEAM           ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003,Tennessee                                         ,Southeastern Conference                                                    ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2012,140070920121020,709,140,1,0,16,13,12,25,106,106,177,177,77,77,142,142,14,19,7,11,2,0,25,0,3,3,ATEAM     ,A,0,10/20/2012,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937,Toledo                                            ,Mid-American Conference                                                    ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2008,140073620111231,742,140,1,0,7,7,21,8,127,127,11,11,103,103,123,123,17,21,6,8,2,3,15,17,0,0,TIED      ,B,1,12/31/2011,115,Liberty Bowl                                                               ,NEUTRAL        ,Memphis                                                                    ,TN,62380,FieldTurf                ,0,1965,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2011,140074220090101,736,140,0,1,7,14,23,18,79,79,143,143,14,14,85,85,13,15,8,8,3,4,25,24,-7,7,BTEAM     ,B,1,1/1/2009,30,Sun Life Stadium                                                           ,NEUTRAL        ,Miami                                                                      ,FL,75235,Grass                    ,1,1987,Vanderbilt                                        ,Southeastern Conference                                                    ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2008,140076820081108,768,140,1,0,7,20,18,13,93,93,33,33,75,75,154,154,12,22,5,9,3,2,25,15,-13,13,BTEAM     ,A,0,11/8/2008,143,Mountaineer Field                                                          ,TEAM           ,Morgantown                                                                 ,WV,63500,FieldTurf                ,0,1980,West Virginia                                     ,Big 12 Conference                                                          ,Cincinnati                                        ,Big East Conference/American Athletic                                      
2008,141014720080906,141,147,0,1,7,21,11,20,28,28,23,23,226,226,117,117,20,14,7,4,0,5,0,35,-14,14,BTEAM     ,B,1,9/6/2008,112,Memorial Stadium                                                           ,TEAM           ,Clemson                                                                    ,SC,86400,Grass                    ,1,1942,Citadel                                           ,Southern                                                                   ,Clemson                                           ,Atlantic Coast Conference                                                  
2011,141064820111119,141,648,0,1,13,20,24,21,114,114,124,124,0,0,119,119,2,13,2,2,1,0,5,0,-7,7,BTEAM     ,B,1,11/19/2011,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934,Citadel                                           ,Southern                                                                   ,South Carolina                                    ,Southeastern Conference                                                    
2012,147003720120901,37,147,0,1,10,13,16,27,74,74,152,152,93,93,128,128,10,21,3,7,6,3,30,15,-3,3,BTEAM     ,A,0,9/1/2012,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,0,1992,Auburn                                            ,Southeastern Conference                                                    ,Clemson                                           ,Atlantic Coast Conference                                                  
2010,147006720101030,67,147,1,0,13,10,29,7,129,129,19,19,134,134,73,73,7,13,2,5,3,4,35,46,3,3,ATEAM     ,A,0,10/30/2010,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,0,1957,Boston College                                    ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2012,147006720120929,67,147,0,1,21,24,19,24,60,60,96,96,192,192,108,108,15,19,6,3,2,2,16,15,-3,3,BTEAM     ,A,0,9/29/2012,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,0,1957,Boston College                                    ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2008,147023420081108,234,147,1,0,20,17,17,20,143,143,42,42,41,41,180,180,15,14,8,4,1,3,5,33,3,3,ATEAM     ,A,0,11/8/2008,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1,1950,Florida State                                     ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2012,147023420120922,234,147,1,0,14,21,16,19,124,124,55,55,181,181,189,189,20,20,5,7,1,3,0,16,-7,7,BTEAM     ,A,0,9/22/2012,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1,1950,Florida State                                     ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2009,147039220091003,392,147,1,0,17,13,18,18,60,60,73,73,148,148,79,79,15,23,4,9,3,1,15,15,4,4,ATEAM     ,A,0,10/3/2009,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1,1950,Maryland                                          ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2011,147039220111015,392,147,0,1,28,17,18,28,108,108,180,180,67,67,148,148,14,20,6,8,2,0,20,0,11,11,ATEAM     ,A,0,10/15/2011,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1,1950,Maryland                                          ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2013,147039220131026,147,392,1,0,16,7,29,12,100,100,42,42,180,180,62,62,23,11,5,4,5,2,24,15,9,9,ATEAM     ,B,1,10/26/2013,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1,1950,Clemson                                           ,Atlantic Coast Conference                                                  ,Maryland                                          ,Atlantic Coast Conference                                                  
2009,147041520091024,415,147,1,0,10,14,17,14,99,99,-20,-20,11,11,126,126,16,15,4,5,2,7,24,50,-4,4,BTEAM     ,A,0,10/24/2009,30,Sun Life Stadium                                                           ,TEAM           ,Miami                                                                      ,FL,75235,Grass                    ,1,1987,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2010,147045720101009,457,147,1,0,14,3,12,17,12,12,37,37,123,123,91,91,21,20,10,9,2,0,21,0,11,11,ATEAM     ,A,0,10/9/2010,78,Kenan Stadium                                                              ,TEAM           ,Chapel Hill                                                                ,NC,61836,Grass                    ,1,1927,North Carolina                                    ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2013,147049020130919,490,147,0,1,7,13,14,20,85,85,76,76,91,91,141,141,11,26,3,11,3,5,20,29,-6,6,BTEAM     ,A,0,9/19/2013,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1,1966,North Carolina State                              ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2013,147051820140103,518,147,0,1,22,20,26,16,85,85,138,138,160,160,140,140,11,21,3,5,5,3,93,25,2,2,ATEAM     ,A,0,1/3/2014,30,Sun Life Stadium                                                           ,NEUTRAL        ,Miami                                                                      ,FL,75235,Grass                    ,1,1987,Ohio State                                        ,Big Ten Conference                                                         ,Clemson                                           ,Atlantic Coast Conference                                                  
2009,147064820091128,648,147,1,0,17,7,27,14,123,123,15,15,34,34,102,102,12,13,6,6,2,1,20,5,10,10,ATEAM     ,A,0,11/28/2009,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934,South Carolina                                    ,Southeastern Conference                                                    ,Clemson                                           ,Atlantic Coast Conference                                                  
2011,147064820111126,147,648,0,1,10,17,13,27,47,47,162,162,31,31,98,98,12,12,8,4,1,1,15,5,-7,7,BTEAM     ,B,1,11/26/2011,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934,Clemson                                           ,Atlantic Coast Conference                                                  ,South Carolina                                    ,Southeastern Conference                                                    
2013,147064820131130,648,147,1,0,17,7,23,15,53,53,50,50,140,140,92,92,22,12,11,2,2,1,8,5,10,10,ATEAM     ,A,0,11/30/2013,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1,1934,South Carolina                                    ,Southeastern Conference                                                    ,Clemson                                           ,Atlantic Coast Conference                                                  
2011,147074220111001,742,147,0,1,3,10,18,19,104,104,45,45,10,10,140,140,14,25,7,15,1,4,11,40,-7,7,BTEAM     ,A,0,10/1/2011,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1,1965,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2008,147074620081122,147,746,1,0,10,3,13,15,47,47,23,23,90,90,132,132,21,22,7,8,1,2,5,20,7,7,ATEAM     ,B,1,11/22/2008,137,Scott Stadium                                                              ,TEAM           ,Charlottesville                                                            ,VA,60000,Grass                    ,1,1931,Clemson                                           ,Atlantic Coast Conference                                                  ,Virginia                                          ,Atlantic Coast Conference                                                  
2008,147074620131102,749,147,1,0,3,0,24,13,117,117,-12,-12,78,78,51,51,13,13,4,5,1,0,15,0,3,3,ATEAM     ,B,1,11/2/2013,137,Scott Stadium                                                              ,TEAM           ,Charlottesville                                                            ,VA,60000,Grass                    ,1,1931,Wake Forest                                       ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2010,147074920081009,749,147,0,1,0,13,19,19,17,17,22,22,31,31,171,171,8,15,5,3,0,2,0,15,-13,13,BTEAM     ,A,0,10/9/2008,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,0,1968,Wake Forest                                       ,Atlantic Coast Conference                                                  ,Clemson                                           ,Atlantic Coast Conference                                                  
2009,149033120090903,331,149,1,0,2,0,20,16,87,87,81,81,34,34,36,36,25,15,10,8,0,3,0,30,2,2,ATEAM     ,A,0,9/3/2009,100,Dix Stadium                                                                ,TEAM           ,Kent                                                                       ,OH,29287,FieldTurf                ,0,1969,Kent State                                        ,Mid-American Conference                                                    ,Coastal Carolina                                  ,Big South                                                                  
2012,149070920120922,149,709,0,1,14,17,21,11,0,0,24,24,150,150,185,185,16,23,4,7,0,3,0,16,-3,3,BTEAM     ,B,1,9/22/2012,102,Glass Bowl                                                                 ,TEAM           ,Toledo                                                                     ,OH,26248,NexTurf                  ,0,1937,Coastal Carolina                                  ,Big South                                                                  ,Toledo                                            ,Mid-American Conference                                                    
2010,149076820100904,149,768,0,1,0,10,12,24,24,24,95,95,-32,-32,58,58,11,17,4,3,0,3,0,15,-10,10,BTEAM     ,B,1,9/4/2010,143,Mountaineer Field                                                          ,TEAM           ,Morgantown                                                                 ,WV,63500,FieldTurf                ,0,1980,Coastal Carolina                                  ,Big South                                                                  ,West Virginia                                     ,Big 12 Conference                                                          
2010,153068820100925,688,153,1,0,14,0,10,28,-15,-15,94,94,26,26,27,27,12,13,4,3,6,3,55,22,14,14,ATEAM     ,A,0,9/25/2010,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,0,1980,Syracuse                                          ,Atlantic Coast Conference                                                  ,Colgate                                           ,Patriot                                                                    
2013,153072120130831,153,721,0,1,7,21,18,32,77,77,212,212,69,69,46,46,16,8,7,3,2,0,20,0,-14,14,BTEAM     ,B,1,8/31/2013,21,Falcon Stadium                                                             ,TEAM           ,Colorado Springs                                                           ,CO,46692,FieldTurf                ,0,1962,Colgate                                           ,Patriot                                                                    ,Air Force                                         ,Mountain West Conference                                                   
2009,156007720090926,77,156,1,0,21,7,14,16,22,22,-3,-3,87,87,276,276,11,23,3,7,3,4,16,39,14,14,ATEAM     ,A,0,9/26/2009,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1,1964,BYU                                               ,Independent                                                                ,Colorado State                                    ,Mountain West Conference                                                   
