year,game_code,a_team_code,b_team_code,a_result,b_result,a_points,b_points,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,half_leader,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened,a_team_name,a_name_conference,team_name,name_conference
2010,657002820130928,657,29,1,0,21,14,17,14,77,77,101,101,128,128,191,191,20,21,4,6,3,3,20,15,7,7,ATEAM     ,B,1,9/28/2013,10,Sun Devil Stadium                                                          ,TEAM           ,Tempe                                                                      ,AZ,71706,Grass                    ,1,1958,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Arizona                                           ,Pac-12/Pac-10 Conference                                                   
2011,657002920081025,657,28,0,1,9,21,15,17,36,36,100,100,84,84,116,116,17,14,6,4,3,2,29,10,-12,12,BTEAM     ,B,1,10/25/2008,11,Arizona Stadium                                                            ,TEAM           ,Tucson                                                                     ,AZ,57400,Grass                    ,1,1929,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Arizona State                                     ,Pac-12/Pac-10 Conference                                                   
2012,657002920101113,29,657,1,0,13,21,17,12,96,96,-9,-9,158,158,204,204,32,29,15,5,5,7,45,55,-8,8,BTEAM     ,A,0,11/13/2010,11,Arizona Stadium                                                            ,TEAM           ,Tucson                                                                     ,AZ,57400,Grass                    ,1,1929,Arizona                                           ,Pac-12/Pac-10 Conference                                                   ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2013,657002920121027,657,28,0,1,14,17,16,17,131,131,69,69,155,155,217,217,13,22,1,8,2,0,20,0,-3,3,BTEAM     ,B,1,10/27/2012,11,Arizona Stadium                                                            ,TEAM           ,Tucson                                                                     ,AZ,57400,Grass                    ,1,1929,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Arizona State                                     ,Pac-12/Pac-10 Conference                                                   
2008,657010720091003,657,110,1,0,21,7,18,12,135,135,19,19,146,146,54,54,21,14,9,9,6,3,52,20,14,14,ATEAM     ,B,1,10/3/2009,12,Memorial Stadium                                                           ,TEAM           ,Berkeley                                                                   ,CA,63000,Sportexe Momentum        ,0,1923,USC                                               ,Pac-12/Pac-10 Conference                                                   ,UCLA                                              ,Pac-12/Pac-10 Conference                                                   
2010,657010720131109,657,110,1,0,14,7,22,16,46,46,153,153,37,37,57,57,15,11,6,8,4,2,35,15,7,7,ATEAM     ,B,1,11/9/2013,12,Memorial Stadium                                                           ,TEAM           ,Berkeley                                                                   ,CA,63000,Sportexe Momentum        ,0,1923,USC                                               ,Pac-12/Pac-10 Conference                                                   ,UCLA                                              ,Pac-12/Pac-10 Conference                                                   
2012,657011020101204,110,657,1,0,24,14,24,14,84,84,115,115,138,138,138,138,19,15,5,4,3,4,11,32,10,10,ATEAM     ,A,0,12/4/2010,15,Rose Bowl                                                                  ,TEAM           ,Pasadena                                                                   ,CA,91136,Grass                    ,1,1922,UCLA                                              ,Pac-12/Pac-10 Conference                                                   ,USC                                               ,Pac-12/Pac-10 Conference                                                   
2012,657025520121231,657,255,0,1,7,7,14,30,58,58,114,114,38,38,57,57,13,6,6,3,1,2,5,10,0,0,TIED      ,B,1,12/31/2012,124,Sun Bowl                                                                   ,NEUTRAL        ,El Paso                                                                    ,TX,50426,AstroPlay                ,0,1963,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Georgia Tech                                      ,Atlantic Coast Conference                                                  
2010,657027720100902,657,277,1,0,27,16,18,12,101,101,79,79,178,178,176,176,19,28,4,15,2,8,20,65,11,11,ATEAM     ,B,1,9/2/2010,39,Aloha Stadium                                                              ,TEAM           ,Honolulu                                                                   ,HI,50000,FieldTurf                ,0,1975,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Hawai'i                                           ,Mountain West Conference                                                   
2013,657027720130829,657,277,1,0,17,5,18,22,97,97,19,19,-1,-1,185,185,17,20,5,10,2,2,20,10,12,12,ATEAM     ,B,1,8/29/2013,39,Aloha Stadium                                                              ,TEAM           ,Honolulu                                                                   ,HI,50000,FieldTurf                ,0,1975,USC                                               ,Pac-12/Pac-10 Conference                                                   ,Hawai'i                                           ,Mountain West Conference                                                   
