year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2012,37043300000000,Mississippi                                       ,Southeastern Conference                                                    ,433,1,14,37,Auburn                                            ,Southeastern Conference                                                    ,0,17,BTEAM     ,15,26,86,86,154,154,107,107,90,90,12,8,2,1,2,2,11,10,-3,3,10/13/2012,76,Vaught-Hemingway Stadium                                                   ,TEAM           ,Oxford                                                                     ,MS,60580,AstroPlay                ,1915
2010,37064800000000,South Carolina                                    ,Southeastern Conference                                                    ,648,0,14,37,Auburn                                            ,Southeastern Conference                                                    ,1,27,BTEAM     ,12,20,56,56,96,96,92,92,287,287,20,22,7,9,3,3,29,10,-13,13,12/4/2010,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,1992
2011,37064800000000,Auburn                                            ,Southeastern Conference                                                    ,37,1,9,648,South Carolina                                    ,Southeastern Conference                                                    ,0,6,ATEAM     ,34,15,114,114,95,95,-49,-49,95,95,10,9,4,3,4,1,26,5,3,3,10/1/2011,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1934
2009,37069400000000,Auburn                                            ,Southeastern Conference                                                    ,37,1,13,694,Tennessee                                         ,Southeastern Conference                                                    ,0,6,ATEAM     ,25,14,125,125,150,150,145,145,62,62,23,16,10,12,3,2,25,20,7,7,10/3/2009,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1921
2013,37069400000000,Auburn                                            ,Southeastern Conference                                                    ,37,1,34,694,Tennessee                                         ,Southeastern Conference                                                    ,0,20,ATEAM     ,18,28,222,222,156,156,106,106,95,95,5,18,1,7,4,0,30,0,14,14,11/9/2013,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1921
2013,37069700000000,Auburn                                            ,Southeastern Conference                                                    ,37,1,17,697,Texas A&M                                         ,Southeastern Conference                                                    ,0,24,BTEAM     ,28,17,160,160,63,63,111,111,170,170,12,20,7,4,3,2,24,10,-7,7,10/19/2013,120,Kyle Field                                                                 ,TEAM           ,College Station                                                            ,TX,82600,Grass                    ,1929
2008,37073600000000,Auburn                                            ,Southeastern Conference                                                    ,37,0,13,736,Vanderbilt                                        ,Southeastern Conference                                                    ,1,7,ATEAM     ,28,14,16,16,48,48,39,39,95,95,6,12,2,4,3,1,10,15,6,6,10/4/2008,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2012,37073600000000,Auburn                                            ,Southeastern Conference                                                    ,37,0,10,736,Vanderbilt                                        ,Southeastern Conference                                                    ,1,7,ATEAM     ,15,25,50,50,78,78,57,57,115,115,7,19,1,7,3,0,15,0,3,3,10/20/2012,117,Vanderbilt Stadium                                                         ,TEAM           ,Nashville                                                                  ,TN,39773,Grass                    ,1922
2008,37076800000000,Auburn                                            ,Southeastern Conference                                                    ,37,0,17,768,West Virginia                                     ,Big 12 Conference                                                          ,1,10,ATEAM     ,29,9,97,97,121,121,73,73,56,56,9,11,1,3,0,1,0,5,7,7,10/23/2008,143,Mountaineer Field                                                          ,TEAM           ,Morgantown                                                                 ,WV,63500,FieldTurf                ,1980
2013,43069400000000,Tennessee                                         ,Southeastern Conference                                                    ,694,1,42,43,Austin Peay                                       ,OVC                                                                        ,0,0,ATEAM     ,28,9,204,204,9,9,95,95,121,121,13,17,3,8,6,0,45,0,42,42,8/31/2013,114,Neyland Stadium                                                            ,TEAM           ,Knoxville                                                                  ,TN,102037,Grass                    ,1921
