year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,year_opened
2008,5068820000000,Syracuse                                          ,Atlantic Coast Conference                                                  ,688,0,14,5,Akron                                             ,Mid-American Conference                                                    ,1,28,BTEAM     ,17,24,84,84,129,129,40,40,154,154,10,15,3,3,2,0,10,0,-14,14,9/6/2008,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2008,8014720000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,0,3,8,Alabama                                           ,Southeastern Conference                                                    ,1,20,BTEAM     ,9,27,45,45,123,123,56,56,116,116,13,18,6,4,4,4,20,28,-17,17,8/30/2008,38,Georgia Dome                                                               ,NEUTRAL        ,Atlanta                                                                    ,GA,71250,FieldTurf                ,1992
2010,8019320000000,Duke                                              ,Atlantic Coast Conference                                                  ,193,0,13,8,Alabama                                           ,Southeastern Conference                                                    ,1,42,BTEAM     ,16,15,90,90,157,157,129,129,139,139,27,18,12,4,3,2,25,10,-29,29,9/18/2010,80,Wallace Wade Stadium                                                       ,TEAM           ,Durham                                                                     ,NC,33941,Grass                    ,1929
2011,27074200000000,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,742,1,38,27,Appalachian State                                 ,Southern                                                                   ,0,0,ATEAM     ,25,16,136,136,91,91,140,140,71,71,15,12,8,5,1,2,5,10,38,38,9/3/2011,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1965
2011,37014700000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,1,21,37,Auburn                                            ,Southeastern Conference                                                    ,0,21,TIED      ,16,27,61,61,157,157,165,165,125,125,24,15,8,7,4,2,35,20,0,0,9/17/2011,112,Memorial Stadium                                                           ,TEAM           ,Clemson                                                                    ,SC,86400,Grass                    ,1942
2013,37023400000000,Florida State                                     ,Atlantic Coast Conference                                                  ,234,1,10,37,Auburn                                            ,Southeastern Conference                                                    ,0,21,BTEAM     ,18,29,137,137,131,131,62,62,107,107,15,13,10,6,2,3,20,15,-11,11,1/6/2014,15,Rose Bowl                                                                  ,NEUTRAL        ,Pasadena                                                                   ,CA,91136,Grass                    ,1922
2012,43074200000000,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,742,1,21,43,Austin Peay                                       ,OVC                                                                        ,0,0,ATEAM     ,17,22,-47,-47,64,64,151,151,11,11,14,11,5,7,2,3,10,20,21,21,9/8/2012,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1965
2009,51074900000000,Wake Forest                                       ,Atlantic Coast Conference                                                  ,749,0,7,51,Baylor                                            ,Big 12 Conference                                                          ,1,10,BTEAM     ,21,14,68,68,43,43,44,44,107,107,6,16,1,4,5,2,40,10,-3,3,9/5/2009,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,1968
2013,61023400000000,Florida State                                     ,Atlantic Coast Conference                                                  ,234,1,33,61,Bethune-Cookman                                   ,Mid-Eastern                                                                ,0,0,ATEAM     ,20,26,46,46,91,91,109,109,61,61,16,10,9,6,4,1,37,16,33,33,9/21/2013,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1950
2011,61041500000000,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,415,1,14,61,Bethune-Cookman                                   ,Mid-Eastern                                                                ,0,7,ATEAM     ,9,24,-22,-22,-6,-6,107,107,89,89,9,20,2,9,3,6,28,40,7,7,10/1/2011,30,Sun Life Stadium                                                           ,TEAM           ,Miami                                                                      ,FL,75235,Grass                    ,1987
2011,67012800000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,3,128,UCF                                               ,Big East Conference/American Athletic                                      ,1,9,BTEAM     ,12,23,41,41,87,87,27,27,68,68,8,13,5,2,0,3,0,19,-6,6,9/10/2011,146,Bright House Networks Stadium                                              ,TEAM           ,Orlando                                                                    ,FL,45301,Grass                    ,2007
2009,67014700000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,0,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,16,BTEAM     ,16,23,80,80,95,95,11,11,-12,-12,8,15,4,7,1,2,14,12,-16,16,9/19/2009,112,Memorial Stadium                                                           ,TEAM           ,Clemson                                                                    ,SC,86400,Grass                    ,1942
2011,67014700000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,1,23,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,21,18,98,98,137,137,191,191,70,70,23,11,11,4,3,1,30,0,16,16,10/8/2011,112,Memorial Stadium                                                           ,TEAM           ,Clemson                                                                    ,SC,86400,Grass                    ,1942
2013,67014700000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,7,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,0,ATEAM     ,17,19,75,75,3,3,115,115,156,156,13,28,3,9,2,2,15,20,7,7,10/12/2013,112,Memorial Stadium                                                           ,TEAM           ,Clemson                                                                    ,SC,86400,Grass                    ,1942
2010,67019300000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,7,193,Duke                                              ,Atlantic Coast Conference                                                  ,0,6,ATEAM     ,18,17,-9,-9,-8,-8,98,98,170,170,12,24,7,8,2,0,20,0,1,1,11/13/2010,80,Wallace Wade Stadium                                                       ,TEAM           ,Durham                                                                     ,NC,33941,Grass                    ,1929
2008,67023400000000,Florida State                                     ,Atlantic Coast Conference                                                  ,234,0,10,67,Boston College                                    ,Atlantic Coast Conference                                                  ,1,14,BTEAM     ,14,17,1,1,80,80,88,88,68,68,13,16,3,6,5,2,35,13,-4,4,11/15/2008,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1950
2010,67023400000000,Florida State                                     ,Atlantic Coast Conference                                                  ,234,1,14,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,6,ATEAM     ,9,21,20,20,161,161,173,173,35,35,20,14,7,9,2,1,14,5,8,8,10/16/2010,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1950
2012,67023400000000,Florida State                                     ,Atlantic Coast Conference                                                  ,234,1,28,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,13,17,45,45,75,75,331,331,-26,-26,20,22,4,10,1,4,10,26,21,21,10/13/2012,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1950
2012,67025500000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,3,255,Georgia Tech                                      ,Atlantic Coast Conference                                                  ,1,28,BTEAM     ,8,37,7,7,217,217,116,116,163,163,17,11,6,6,0,0,0,0,-25,25,10/20/2012,37,Bobby Dodd Stadium                                                         ,TEAM           ,Atlanta                                                                    ,GA,55000,Grass                    ,1913
2009,67039200000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,13,392,Maryland                                          ,Atlantic Coast Conference                                                  ,0,10,ATEAM     ,22,14,76,76,18,18,157,157,106,106,14,13,6,4,4,2,29,30,3,3,11/28/2009,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1950
2011,67039200000000,Maryland                                          ,Atlantic Coast Conference                                                  ,392,0,3,67,Boston College                                    ,Atlantic Coast Conference                                                  ,1,21,BTEAM     ,19,33,120,120,173,173,108,108,27,27,18,9,9,5,0,1,0,5,-18,18,10/29/2011,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1950
2011,67041500000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,10,415,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,0,14,BTEAM     ,25,8,11,11,109,109,98,98,89,89,10,10,2,3,2,1,10,8,-4,4,11/25/2011,30,Sun Life Stadium                                                           ,TEAM           ,Miami                                                                      ,FL,75235,Grass                    ,1987
2008,67045700000000,North Carolina                                    ,Atlantic Coast Conference                                                  ,457,1,24,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,17,ATEAM     ,17,13,113,113,22,22,175,175,135,135,20,17,8,4,0,2,0,10,7,7,10/25/2008,78,Kenan Stadium                                                              ,TEAM           ,Chapel Hill                                                                ,NC,61836,Grass                    ,1927
2013,67045700000000,North Carolina                                    ,Atlantic Coast Conference                                                  ,457,1,20,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,23,18,73,73,147,147,169,169,55,55,20,11,4,6,3,2,25,20,13,13,10/26/2013,78,Kenan Stadium                                                              ,TEAM           ,Chapel Hill                                                                ,NC,61836,Grass                    ,1927
2013,67047200000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,20,472,New Mexico State                                  ,Independent                                                                ,0,17,ATEAM     ,18,12,128,128,96,96,155,155,136,136,16,24,5,8,6,1,35,9,3,3,11/9/2013,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1978
2008,67049000000000,North Carolina State                              ,Atlantic Coast Conference                                                  ,490,0,17,67,Boston College                                    ,Atlantic Coast Conference                                                  ,1,21,BTEAM     ,13,12,18,18,25,25,101,101,191,191,19,25,8,8,1,2,14,11,-4,4,10/4/2008,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1966
2010,67049000000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,10,490,North Carolina State                              ,Atlantic Coast Conference                                                  ,1,27,BTEAM     ,14,12,46,46,45,45,88,88,250,250,21,35,13,8,1,2,10,30,-17,17,10/9/2010,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1966
2012,67049000000000,North Carolina State                              ,Atlantic Coast Conference                                                  ,490,1,14,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,3,ATEAM     ,14,14,54,54,88,88,135,135,161,161,23,29,10,18,2,2,15,10,11,11,11/24/2012,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1966
2012,67050900000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,10,509,Northwestern                                      ,Big Ten Conference                                                         ,1,12,BTEAM     ,11,26,12,12,12,12,140,140,218,218,16,28,5,9,1,1,5,5,-2,2,9/15/2012,46,Ryan Field                                                                 ,TEAM           ,Evanston                                                                   ,IL,49256,Grass                    ,1926
2009,67051300000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,9,513,Notre Dame                                        ,Independent                                                                ,1,13,BTEAM     ,10,18,6,6,57,57,127,127,165,165,18,27,9,8,1,2,10,10,-4,4,10/24/2009,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1930
2011,67051300000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,7,513,Notre Dame                                        ,Independent                                                                ,1,13,BTEAM     ,13,18,28,28,92,92,100,100,156,156,13,22,4,9,1,1,6,0,-6,6,11/19/2011,49,Notre Dame Stadium                                                         ,TEAM           ,South Bend                                                                 ,IN,80795,Grass                    ,1930
2013,67065700000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,0,657,USC                                               ,Pac-12/Pac-10 Conference                                                   ,1,14,BTEAM     ,10,19,29,29,80,80,34,34,158,158,13,12,7,1,4,1,45,5,-14,14,9/14/2013,14,LA Coliseum                                                                ,TEAM           ,Los Angeles                                                                ,CA,92000,Grass                    ,1923
2010,67068800000000,Syracuse                                          ,Atlantic Coast Conference                                                  ,688,0,0,67,Boston College                                    ,Atlantic Coast Conference                                                  ,1,6,BTEAM     ,14,21,43,43,84,84,55,55,19,19,10,17,5,7,1,0,5,0,-6,6,11/27/2010,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2013,67068800000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,14,688,Syracuse                                          ,Atlantic Coast Conference                                                  ,1,21,BTEAM     ,8,32,21,21,33,33,166,166,168,168,13,24,5,8,2,0,15,0,-7,7,11/30/2013,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2008,67074200000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,7,742,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,1,14,BTEAM     ,13,24,20,20,92,92,61,61,46,46,10,13,3,3,2,1,15,5,-7,7,12/6/2008,35,Raymond James Stadium                                                      ,NEUTRAL        ,Tampa                                                                      ,FL,41441,Grass                    ,1998
2009,67074200000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,0,742,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,1,34,BTEAM     ,11,30,0,0,164,164,103,103,120,120,9,9,7,2,0,3,0,20,-34,34,10/10/2009,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1965
2011,67074200000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,7,742,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,1,3,ATEAM     ,15,15,4,4,59,59,142,142,142,142,18,25,9,13,1,0,5,0,4,4,10/22/2011,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1965
2009,67074600000000,Virginia                                          ,Atlantic Coast Conference                                                  ,746,0,0,67,Boston College                                    ,Atlantic Coast Conference                                                  ,1,7,BTEAM     ,17,19,45,45,85,85,4,4,11,11,17,15,8,7,1,2,5,20,-7,7,11/14/2009,137,Scott Stadium                                                              ,TEAM           ,Charlottesville                                                            ,VA,60000,Grass                    ,1931
2008,67074900000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,16,749,Wake Forest                                       ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,30,9,152,152,-5,-5,35,35,164,164,9,14,5,5,2,1,15,5,9,9,11/22/2008,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,1968
2010,67074900000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,14,749,Wake Forest                                       ,Atlantic Coast Conference                                                  ,0,6,ATEAM     ,13,19,46,46,75,75,105,105,124,124,10,17,0,2,1,3,5,20,8,8,11/6/2010,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,1968
2012,67074900000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,7,749,Wake Forest                                       ,Atlantic Coast Conference                                                  ,1,21,BTEAM     ,10,15,53,53,34,34,116,116,151,151,21,28,5,12,5,1,40,5,-14,14,11/3/2012,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,1968
2012,77025500000000,Georgia Tech                                      ,Atlantic Coast Conference                                                  ,255,0,14,77,BYU                                               ,Independent                                                                ,1,24,BTEAM     ,18,22,75,75,81,81,9,9,206,206,3,19,2,6,2,1,9,12,-10,10,10/27/2012,37,Bobby Dodd Stadium                                                         ,TEAM           ,Atlanta                                                                    ,GA,55000,Grass                    ,1913
2008,86054500000000,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,545,1,10,86,Buffalo                                           ,Mid-American Conference                                                    ,0,9,ATEAM     ,15,18,62,62,64,64,105,105,123,123,15,21,6,8,2,1,10,5,1,1,9/6/2008,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,2001
2008,107039000000000,Maryland                                          ,Atlantic Coast Conference                                                  ,392,1,21,107,California                                        ,Pac-12/Pac-10 Conference                                                   ,0,6,ATEAM     ,22,12,77,77,26,26,67,67,193,193,15,25,4,11,1,0,0,0,15,15,9/13/2008,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1950
2008,128007000000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,3,128,UCF                                               ,Big East Conference/American Athletic                                      ,0,6,BTEAM     ,14,23,43,43,102,102,39,39,-10,-10,20,13,10,4,4,2,35,21,-3,3,9/20/2008,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,1957
2009,129007000000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,7,129,Central Michigan                                  ,Mid-American Conference                                                    ,0,3,ATEAM     ,12,16,48,48,50,50,91,91,135,135,15,27,6,10,0,0,0,0,4,4,10/31/2009,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,1957
2010,129074000000000,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,742,1,24,129,Central Michigan                                  ,Mid-American Conference                                                    ,0,7,ATEAM     ,14,18,123,123,48,48,73,73,197,197,13,24,6,12,4,2,40,10,17,17,10/9/2010,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1965
2009,140055000000000,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,545,0,31,140,Cincinnati                                        ,Big East Conference/American Athletic                                      ,1,17,ATEAM     ,31,8,108,108,57,57,110,110,96,96,9,23,1,13,0,3,0,20,14,14,12/5/2009,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,2001
2011,140055000000000,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,545,0,16,140,Cincinnati                                        ,Big East Conference/American Athletic                                      ,1,13,ATEAM     ,21,17,82,82,127,127,124,124,165,165,14,16,4,4,2,0,20,0,3,3,11/5/2011,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,2001
2008,140074000000000,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,742,1,7,140,Cincinnati                                        ,Big East Conference/American Athletic                                      ,0,7,TIED      ,21,8,127,127,11,11,103,103,123,123,17,21,6,8,2,3,15,17,0,0,12/31/2011,115,Liberty Bowl                                                               ,NEUTRAL        ,Memphis                                                                    ,TN,62380,FieldTurf                ,1965
2009,141046000000000,North Carolina                                    ,Atlantic Coast Conference                                                  ,457,1,23,141,Citadel                                           ,Southern                                                                   ,0,0,ATEAM     ,21,10,107,107,64,64,184,184,-73,-73,16,18,7,4,3,2,25,11,23,23,9/5/2009,78,Kenan Stadium                                                              ,TEAM           ,Chapel Hill                                                                ,NC,61836,Grass                    ,1927
2012,141049000000000,North Carolina State                              ,Atlantic Coast Conference                                                  ,490,1,41,141,Citadel                                           ,Southern                                                                   ,0,7,ATEAM     ,21,23,92,92,178,178,177,177,46,46,16,3,3,0,2,1,10,5,34,34,9/22/2012,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1966
2008,147007000000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,1,17,67,Boston College                                    ,Atlantic Coast Conference                                                  ,0,0,ATEAM     ,15,18,80,80,87,87,162,162,17,17,15,21,5,14,0,2,0,10,17,17,11/1/2008,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,1957
2010,147007000000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,1,13,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,10,ATEAM     ,29,7,129,129,19,19,134,134,73,73,7,13,2,5,3,4,35,46,3,3,10/30/2010,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,1957
2012,147007000000000,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,21,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,24,BTEAM     ,19,24,60,60,96,96,192,192,108,108,15,19,6,3,2,2,16,15,-3,3,9/29/2012,61,Alumni Stadium                                                             ,TEAM           ,Chestnut Hill                                                              ,MA,44500,FieldTurf                ,1957
2012,147019000000000,Duke                                              ,Atlantic Coast Conference                                                  ,193,0,17,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,42,BTEAM     ,16,24,34,34,170,170,200,200,244,244,23,18,9,3,2,5,25,50,-25,25,11/3/2012,80,Wallace Wade Stadium                                                       ,TEAM           ,Durham                                                                     ,NC,33941,Grass                    ,1929
2008,147023000000000,Florida State                                     ,Atlantic Coast Conference                                                  ,234,1,20,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,17,ATEAM     ,17,20,143,143,42,42,41,41,180,180,15,14,8,4,1,3,5,33,3,3,11/8/2008,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1950
2012,147023000000000,Florida State                                     ,Atlantic Coast Conference                                                  ,234,1,14,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,21,BTEAM     ,16,19,124,124,55,55,181,181,189,189,20,20,5,7,1,3,0,16,-7,7,9/22/2012,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1950
2009,147026000000000,Georgia Tech                                      ,Atlantic Coast Conference                                                  ,255,1,24,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,22,20,189,189,34,34,53,53,131,131,8,17,5,7,2,3,10,20,17,17,9/10/2009,37,Bobby Dodd Stadium                                                         ,TEAM           ,Atlanta                                                                    ,GA,55000,Grass                    ,1913
2011,147026000000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,0,3,255,Georgia Tech                                      ,Atlantic Coast Conference                                                  ,1,24,BTEAM     ,14,31,50,50,178,178,147,147,57,57,18,7,6,4,1,3,14,10,-21,21,10/29/2011,37,Bobby Dodd Stadium                                                         ,TEAM           ,Atlanta                                                                    ,GA,55000,Grass                    ,1913
2009,147039000000000,Maryland                                          ,Atlantic Coast Conference                                                  ,392,1,17,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,13,ATEAM     ,18,18,60,60,73,73,148,148,79,79,15,23,4,9,3,1,15,15,4,4,10/3/2009,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1950
2011,147039000000000,Maryland                                          ,Atlantic Coast Conference                                                  ,392,0,28,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,17,ATEAM     ,18,28,108,108,180,180,67,67,148,148,14,20,6,8,2,0,20,0,11,11,10/15/2011,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1950
2013,147039000000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,1,16,392,Maryland                                          ,Atlantic Coast Conference                                                  ,0,7,ATEAM     ,29,12,100,100,42,42,180,180,62,62,23,11,5,4,5,2,24,15,9,9,10/26/2013,64,Byrd Stadium                                                               ,TEAM           ,College Park                                                               ,MD,62000,Grass                    ,1950
2009,147042000000000,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,415,1,10,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,14,BTEAM     ,17,14,99,99,-20,-20,11,11,126,126,16,15,4,5,2,7,24,50,-4,4,10/24/2009,30,Sun Life Stadium                                                           ,TEAM           ,Miami                                                                      ,FL,75235,Grass                    ,1987
2010,147046000000000,North Carolina                                    ,Atlantic Coast Conference                                                  ,457,1,14,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,3,ATEAM     ,12,17,12,12,37,37,123,123,91,91,21,20,10,9,2,0,21,0,11,11,10/9/2010,78,Kenan Stadium                                                              ,TEAM           ,Chapel Hill                                                                ,NC,61836,Grass                    ,1927
2009,147049000000000,North Carolina State                              ,Atlantic Coast Conference                                                  ,490,0,7,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,24,BTEAM     ,21,17,65,65,102,102,28,28,118,118,14,14,9,6,5,2,39,10,-17,17,11/14/2009,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1966
2011,147049000000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,0,3,490,North Carolina State                              ,Atlantic Coast Conference                                                  ,1,27,BTEAM     ,17,23,177,177,79,79,57,57,109,109,12,18,4,6,1,3,15,17,-24,24,11/19/2011,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1966
2013,147049000000000,North Carolina State                              ,Atlantic Coast Conference                                                  ,490,0,7,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,13,BTEAM     ,14,20,85,85,76,76,91,91,141,141,11,26,3,11,3,5,20,29,-6,6,9/19/2013,82,Carter Finley Stadium                                                      ,TEAM           ,Raleigh                                                                    ,NC,56800,Grass                    ,1966
2011,147065000000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,0,10,648,South Carolina                                    ,Southeastern Conference                                                    ,1,17,BTEAM     ,13,27,47,47,162,162,31,31,98,98,12,12,8,4,1,1,15,5,-7,7,11/26/2011,113,Williams-Brice Stadium                                                     ,TEAM           ,Columbia                                                                   ,SC,80250,Grass                    ,1934
2013,147069000000000,Syracuse                                          ,Atlantic Coast Conference                                                  ,688,0,7,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,35,BTEAM     ,17,26,109,109,-7,-7,65,65,296,296,14,23,6,4,1,4,5,25,-28,28,10/5/2013,92,Carrier Dome                                                               ,TEAM           ,Syracuse                                                                   ,NY,49250,FieldTurf                ,1980
2011,147074000000000,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,742,0,3,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,10,BTEAM     ,18,19,104,104,45,45,10,10,140,140,14,25,7,15,1,4,11,40,-7,7,10/1/2011,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1965
2008,147075000000000,Clemson                                           ,Atlantic Coast Conference                                                  ,147,1,10,746,Virginia                                          ,Atlantic Coast Conference                                                  ,0,3,ATEAM     ,13,15,47,47,23,23,90,90,132,132,21,22,7,8,1,2,5,20,7,7,11/22/2008,137,Scott Stadium                                                              ,TEAM           ,Charlottesville                                                            ,VA,60000,Grass                    ,1931
2008,147075000000000,Wake Forest                                       ,Atlantic Coast Conference                                                  ,749,1,3,147,Clemson                                           ,Atlantic Coast Conference                                                  ,0,0,ATEAM     ,24,13,117,117,-12,-12,78,78,51,51,13,13,4,5,1,0,15,0,3,3,11/2/2013,137,Scott Stadium                                                              ,TEAM           ,Charlottesville                                                            ,VA,60000,Grass                    ,1931
2010,147075000000000,Wake Forest                                       ,Atlantic Coast Conference                                                  ,749,0,0,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,13,BTEAM     ,19,19,17,17,22,22,31,31,171,171,8,15,5,3,0,2,0,15,-13,13,10/9/2008,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,1968
2012,147075000000000,Wake Forest                                       ,Atlantic Coast Conference                                                  ,749,0,7,147,Clemson                                           ,Atlantic Coast Conference                                                  ,1,35,BTEAM     ,17,17,-23,-23,59,59,202,202,271,271,19,21,5,5,5,1,44,5,-28,28,11/20/2010,83,Groves Stadium                                                             ,TEAM           ,Winston Salem                                                              ,NC,31500,FieldTurf                ,1968
